,month,year,County Name,Parameter Name,Arithmetic Mean
0,1,2012,Amador,Outdoor Temperature,42.477150548387094
1,1,2012,Butte,Outdoor Temperature,48.07507889516129
2,1,2012,Calaveras,Outdoor Temperature,44.92473112903226
3,1,2012,Colusa,Outdoor Temperature,46.966959967741936
4,1,2012,Del Norte,Outdoor Temperature,45.93513319354839
5,1,2012,El Dorado,Outdoor Temperature,42.0693425967742
6,1,2012,Fresno,Outdoor Temperature,48.14065327272727
7,1,2012,Glenn,Outdoor Temperature,47.30107535483871
8,1,2012,Humboldt,Outdoor Temperature,42.77199241935484
9,1,2012,Imperial,Outdoor Temperature,58.24310675806451
10,1,2012,Inyo,Outdoor Temperature,44.25217469197397
11,1,2012,Kern,Outdoor Temperature,49.69811633333333
12,1,2012,Kings,Outdoor Temperature,47.35917651612903
13,1,2012,Lake,Outdoor Temperature,42.23051077419355
14,1,2012,Los Angeles,Outdoor Temperature,56.47273056451613
15,1,2012,Madera,Outdoor Temperature,47.30566101612904
16,1,2012,Marin,Outdoor Temperature,49.913580277777776
17,1,2012,Mariposa,Outdoor Temperature,43.64314520967742
18,1,2012,Merced,Outdoor Temperature,46.56960025806452
19,1,2012,Mono,Outdoor Temperature,33.02734922580645
20,1,2012,Monterey,Outdoor Temperature,49.62051972043011
21,1,2012,Orange,Outdoor Temperature,57.93636524193548
22,1,2012,Placer,Outdoor Temperature,49.938172096774196
23,1,2012,Riverside,Outdoor Temperature,56.898652223255816
24,1,2012,Sacramento,Outdoor Temperature,48.35118280645161
25,1,2012,San Benito,Outdoor Temperature,47.96438174193548
26,1,2012,San Bernardino,Outdoor Temperature,50.29766263576159
27,1,2012,San Diego,Outdoor Temperature,56.57071461693548
28,1,2012,San Joaquin,Outdoor Temperature,48.32741334408602
29,1,2012,San Luis Obispo,Outdoor Temperature,49.21865938317757
30,1,2012,Santa Barbara,Outdoor Temperature,54.57681863655914
31,1,2012,Santa Clara,Outdoor Temperature,50.04125422580645
32,1,2012,Santa Cruz,Outdoor Temperature,48.74193548387097
33,1,2012,Shasta,Outdoor Temperature,33.13037635483871
34,1,2012,Stanislaus,Outdoor Temperature,47.517239306451614
35,1,2012,Sutter,Outdoor Temperature,49.26050832258064
36,1,2012,Tulare,Outdoor Temperature,47.32824276774194
37,1,2012,Tuolumne,Outdoor Temperature,45.110215064516126
38,1,2012,Ventura,Outdoor Temperature,57.940381591397845
39,1,2012,Yolo,Outdoor Temperature,46.88252690322581
386,2,2012,Amador,Outdoor Temperature,44.995689689655165
387,2,2012,Butte,Outdoor Temperature,50.478134499999996
388,2,2012,Calaveras,Outdoor Temperature,46.95890796551724
389,2,2012,Colusa,Outdoor Temperature,50.84051724137931
390,2,2012,Del Norte,Outdoor Temperature,46.68452382142857
391,2,2012,El Dorado,Outdoor Temperature,40.3972700862069
392,2,2012,Fresno,Outdoor Temperature,51.37646088505747
393,2,2012,Glenn,Outdoor Temperature,51.18265865517242
394,2,2012,Humboldt,Outdoor Temperature,45.56845235714286
395,2,2012,Imperial,Outdoor Temperature,60.73347704310345
396,2,2012,Inyo,Outdoor Temperature,47.367145574712644
397,2,2012,Kern,Outdoor Temperature,51.44491309359606
398,2,2012,Kings,Outdoor Temperature,51.364942551724134
399,2,2012,Lake,Outdoor Temperature,43.73778737068966
400,2,2012,Los Angeles,Outdoor Temperature,55.51626524425288
401,2,2012,Madera,Outdoor Temperature,50.670062620689656
402,2,2012,Marin,Outdoor Temperature,49.287036962962965
403,2,2012,Mariposa,Outdoor Temperature,42.205459741379315
404,2,2012,Merced,Outdoor Temperature,50.492163
405,2,2012,Mono,Outdoor Temperature,30.10201146551724
406,2,2012,Monterey,Outdoor Temperature,50.46966101149425
407,2,2012,Orange,Outdoor Temperature,56.2780765862069
408,2,2012,Placer,Outdoor Temperature,54.27873565517241
409,2,2012,Riverside,Outdoor Temperature,56.12032845812808
410,2,2012,Sacramento,Outdoor Temperature,51.29882443971631
411,2,2012,San Benito,Outdoor Temperature,49.56896548275863
412,2,2012,San Bernardino,Outdoor Temperature,49.015285786206896
413,2,2012,San Diego,Outdoor Temperature,55.06397161206897
414,2,2012,San Joaquin,Outdoor Temperature,52.297163931034476
415,2,2012,San Luis Obispo,Outdoor Temperature,50.01309246798029
416,2,2012,Santa Barbara,Outdoor Temperature,53.585936588505746
417,2,2012,Santa Clara,Outdoor Temperature,52.54369078571428
418,2,2012,Santa Cruz,Outdoor Temperature,50.56996513793103
419,2,2012,Shasta,Outdoor Temperature,31.9197365862069
420,2,2012,Stanislaus,Outdoor Temperature,51.809688965517246
421,2,2012,Sutter,Outdoor Temperature,52.21551717241379
422,2,2012,Tulare,Outdoor Temperature,47.729153895833335
423,2,2012,Tuolumne,Outdoor Temperature,45.53160920689655
424,2,2012,Ventura,Outdoor Temperature,55.09041464367816
425,2,2012,Yolo,Outdoor Temperature,50.293540793103446
771,3,2012,Amador,Outdoor Temperature,47.99327961290323
772,3,2012,Butte,Outdoor Temperature,49.91437559677419
773,3,2012,Calaveras,Outdoor Temperature,49.702957
774,3,2012,Colusa,Outdoor Temperature,52.37292277419355
775,3,2012,Del Norte,Outdoor Temperature,47.137270451612906
776,3,2012,El Dorado,Outdoor Temperature,41.897849483870964
777,3,2012,Fresno,Outdoor Temperature,54.83694322580645
778,3,2012,Glenn,Outdoor Temperature,52.184139838709676
779,3,2012,Humboldt,Outdoor Temperature,44.835637451612904
780,3,2012,Imperial,Outdoor Temperature,65.57661291935484
781,3,2012,Inyo,Outdoor Temperature,53.59728160860215
782,3,2012,Kern,Outdoor Temperature,54.61587884331797
783,3,2012,Kings,Outdoor Temperature,54.98447538709678
784,3,2012,Lake,Outdoor Temperature,43.97983871774194
785,3,2012,Los Angeles,Outdoor Temperature,56.271341212938005
786,3,2012,Madera,Outdoor Temperature,53.999915274193555
787,3,2012,Marin,Outdoor Temperature,49.20967735483871
788,3,2012,Mariposa,Outdoor Temperature,44.17617129032258
789,3,2012,Merced,Outdoor Temperature,53.83557348387097
790,3,2012,Mono,Outdoor Temperature,36.279254586206896
791,3,2012,Monterey,Outdoor Temperature,51.80804005376344
792,3,2012,Orange,Outdoor Temperature,56.691196258064515
793,3,2012,Placer,Outdoor Temperature,56.117476448275866
794,3,2012,Riverside,Outdoor Temperature,58.078065876543214
795,3,2012,Sacramento,Outdoor Temperature,52.880655270967736
796,3,2012,San Benito,Outdoor Temperature,50.86518235483871
797,3,2012,San Bernardino,Outdoor Temperature,52.0197887544484
798,3,2012,San Diego,Outdoor Temperature,55.781395552419355
799,3,2012,San Joaquin,Outdoor Temperature,54.029685494623656
800,3,2012,San Luis Obispo,Outdoor Temperature,50.46873204608295
801,3,2012,Santa Barbara,Outdoor Temperature,52.49081974353448
802,3,2012,Santa Clara,Outdoor Temperature,53.68115209677419
803,3,2012,Santa Cruz,Outdoor Temperature,50.86302551612903
804,3,2012,Shasta,Outdoor Temperature,33.346774129032255
805,3,2012,Stanislaus,Outdoor Temperature,54.50344201612903
806,3,2012,Sutter,Outdoor Temperature,53.79301080645161
807,3,2012,Tulare,Outdoor Temperature,50.39783807741936
808,3,2012,Tuolumne,Outdoor Temperature,47.77150535483871
809,3,2012,Ventura,Outdoor Temperature,54.308915747311836
810,3,2012,Yolo,Outdoor Temperature,51.44354835483871
1156,4,2012,Amador,Outdoor Temperature,54.34583346666667
1157,4,2012,Butte,Outdoor Temperature,57.566826883333334
1158,4,2012,Calaveras,Outdoor Temperature,55.99166663333334
1159,4,2012,Colusa,Outdoor Temperature,60.1986111
1160,4,2012,Del Norte,Outdoor Temperature,51.085596233333334
1161,4,2012,El Dorado,Outdoor Temperature,48.599305566666665
1162,4,2012,Fresno,Outdoor Temperature,61.78214995555555
1163,4,2012,Glenn,Outdoor Temperature,59.7777777
1164,4,2012,Humboldt,Outdoor Temperature,52.35694456666667
1165,4,2012,Imperial,Outdoor Temperature,73.04
1166,4,2012,Inyo,Outdoor Temperature,62.25688285300669
1167,4,2012,Kern,Outdoor Temperature,60.9680313047619
1168,4,2012,Kings,Outdoor Temperature,62.0703283
1169,4,2012,Lake,Outdoor Temperature,51.21423609166666
1170,4,2012,Los Angeles,Outdoor Temperature,60.89676834545455
1171,4,2012,Madera,Outdoor Temperature,60.41281563333334
1172,4,2012,Marin,Outdoor Temperature,51.55416666666667
1173,4,2012,Mariposa,Outdoor Temperature,52.27584798630137
1174,4,2012,Merced,Outdoor Temperature,60.24580753333333
1175,4,2012,Mono,Outdoor Temperature,43.592512166666666
1176,4,2012,Monterey,Outdoor Temperature,54.83472223333334
1177,4,2012,Orange,Outdoor Temperature,58.250416683333334
1178,4,2012,Placer,Outdoor Temperature,63.84051731034483
1179,4,2012,Riverside,Outdoor Temperature,66.11411903703703
1180,4,2012,Sacramento,Outdoor Temperature,59.70309158
1181,4,2012,San Benito,Outdoor Temperature,55.43680551666667
1182,4,2012,San Bernardino,Outdoor Temperature,59.12176226333333
1183,4,2012,San Diego,Outdoor Temperature,59.204904695833335
1184,4,2012,San Joaquin,Outdoor Temperature,60.563345411111115
1185,4,2012,San Luis Obispo,Outdoor Temperature,55.42509700476191
1186,4,2012,Santa Barbara,Outdoor Temperature,56.061242568888886
1187,4,2012,Santa Clara,Outdoor Temperature,58.6721595
1188,4,2012,Santa Cruz,Outdoor Temperature,54.74305556666666
1189,4,2012,Shasta,Outdoor Temperature,39.520833333333336
1190,4,2012,Stanislaus,Outdoor Temperature,61.53988523333333
1191,4,2012,Sutter,Outdoor Temperature,61.255555566666665
1192,4,2012,Tulare,Outdoor Temperature,56.940640020000004
1193,4,2012,Tuolumne,Outdoor Temperature,54.2152777
1194,4,2012,Ventura,Outdoor Temperature,59.078728388888884
1195,4,2012,Yolo,Outdoor Temperature,58.51884056666667
1547,5,2012,Amador,Outdoor Temperature,61.42607529032258
1548,5,2012,Butte,Outdoor Temperature,66.8179170813008
1549,5,2012,Calaveras,Outdoor Temperature,62.339319064516125
1550,5,2012,Colusa,Outdoor Temperature,69.38599709677419
1551,5,2012,Del Norte,Outdoor Temperature,54.26747319354838
1552,5,2012,El Dorado,Outdoor Temperature,56.34316560483871
1553,5,2012,Fresno,Outdoor Temperature,70.71907631182796
1554,5,2012,Glenn,Outdoor Temperature,69.34811822580646
1555,5,2012,Humboldt,Outdoor Temperature,57.31463683333334
1556,5,2012,Imperial,Outdoor Temperature,82.84446957419355
1557,5,2012,Inyo,Outdoor Temperature,72.48799799354839
1558,5,2012,Kern,Outdoor Temperature,70.31902998617511
1559,5,2012,Kings,Outdoor Temperature,71.00067206451612
1560,5,2012,Lake,Outdoor Temperature,59.32325269354838
1561,5,2012,Los Angeles,Outdoor Temperature,65.06580022115385
1562,5,2012,Madera,Outdoor Temperature,68.64881374193548
1563,5,2012,Marin,Outdoor Temperature,51.75712941935484
1564,5,2012,Mariposa,Outdoor Temperature,59.10560986428571
1565,5,2012,Merced,Outdoor Temperature,68.89253148387097
1566,5,2012,Mono,Outdoor Temperature,52.33746120967742
1567,5,2012,Monterey,Outdoor Temperature,56.370967731182795
1568,5,2012,Nevada,Outdoor Temperature,63.10349464516129
1569,5,2012,Orange,Outdoor Temperature,63.74294353225807
1570,5,2012,Placer,Outdoor Temperature,71.75672038709678
1571,5,2012,Riverside,Outdoor Temperature,73.71428629390681
1572,5,2012,Sacramento,Outdoor Temperature,67.07412663870967
1573,5,2012,San Benito,Outdoor Temperature,60.20332358064516
1574,5,2012,San Bernardino,Outdoor Temperature,67.27159012903226
1575,5,2012,San Diego,Outdoor Temperature,62.48332848790323
1576,5,2012,San Joaquin,Outdoor Temperature,67.81033829032259
1577,5,2012,San Luis Obispo,Outdoor Temperature,59.64268022580645
1578,5,2012,Santa Barbara,Outdoor Temperature,58.293932986928105
1579,5,2012,Santa Clara,Outdoor Temperature,62.13558906451613
1580,5,2012,Santa Cruz,Outdoor Temperature,56.31989241935484
1581,5,2012,Shasta,Outdoor Temperature,47.97856470967742
1582,5,2012,Stanislaus,Outdoor Temperature,69.36290329032259
1583,5,2012,Sutter,Outdoor Temperature,69.62390019354838
1584,5,2012,Tehama,Outdoor Temperature,65.09811832258065
1585,5,2012,Tulare,Outdoor Temperature,65.19228283064517
1586,5,2012,Tuolumne,Outdoor Temperature,62.860703838709675
1587,5,2012,Ventura,Outdoor Temperature,62.8443153655914
1588,5,2012,Yolo,Outdoor Temperature,66.27553761290322
1939,6,2012,Amador,Outdoor Temperature,66.94226183333333
1940,6,2012,Butte,Outdoor Temperature,71.44129000970874
1941,6,2012,Calaveras,Outdoor Temperature,67.8347222
1942,6,2012,Colusa,Outdoor Temperature,73.3127675
1943,6,2012,Del Norte,Outdoor Temperature,57.59444436666667
1944,6,2012,El Dorado,Outdoor Temperature,62.16420455833334
1945,6,2012,Fresno,Outdoor Temperature,75.31614285
1946,6,2012,Glenn,Outdoor Temperature,73.9263888
1947,6,2012,Humboldt,Outdoor Temperature,61.8601190625
1948,6,2012,Imperial,Outdoor Temperature,89.03287695333334
1949,6,2012,Inyo,Outdoor Temperature,79.5568181911111
1950,6,2012,Kern,Outdoor Temperature,77.70614412121212
1951,6,2012,Kings,Outdoor Temperature,75.85972218333333
1952,6,2012,Lake,Outdoor Temperature,63.2022947
1953,6,2012,Los Angeles,Outdoor Temperature,67.92001801666666
1954,6,2012,Madera,Outdoor Temperature,73.39513886666667
1955,6,2012,Marin,Outdoor Temperature,54.4236111
1956,6,2012,Mariposa,Outdoor Temperature,64.92778702027027
1957,6,2012,Merced,Outdoor Temperature,73.43325756666667
1958,6,2012,Mono,Outdoor Temperature,60.3306764
1959,6,2012,Monterey,Outdoor Temperature,59.39339359770115
1960,6,2012,Nevada,Outdoor Temperature,68.00694433333334
1961,6,2012,Orange,Outdoor Temperature,66.32348481666666
1962,6,2012,Placer,Outdoor Temperature,76.1638889
1963,6,2012,Riverside,Outdoor Temperature,78.97207365555556
1964,6,2012,Sacramento,Outdoor Temperature,71.39213877333333
1965,6,2012,San Benito,Outdoor Temperature,64.31273146666666
1966,6,2012,San Bernardino,Outdoor Temperature,72.83617171
1967,6,2012,San Diego,Outdoor Temperature,64.78362065416667
1968,6,2012,San Joaquin,Outdoor Temperature,72.17693052222222
1969,6,2012,San Luis Obispo,Outdoor Temperature,63.00845414285714
1970,6,2012,Santa Barbara,Outdoor Temperature,60.12790110444445
1971,6,2012,Santa Clara,Outdoor Temperature,65.27513452
1972,6,2012,Santa Cruz,Outdoor Temperature,59.41666669999999
1973,6,2012,Shasta,Outdoor Temperature,52.6555556
1974,6,2012,Stanislaus,Outdoor Temperature,73.46035348333334
1975,6,2012,Sutter,Outdoor Temperature,74.06388886666667
1976,6,2012,Tehama,Outdoor Temperature,69.08194440000001
1977,6,2012,Tulare,Outdoor Temperature,71.63726516666667
1978,6,2012,Tuolumne,Outdoor Temperature,70.72560393333333
1979,6,2012,Ventura,Outdoor Temperature,64.48925121111111
1980,6,2012,Yolo,Outdoor Temperature,70.4861111
2330,7,2012,Amador,Outdoor Temperature,73.52131332258065
2331,7,2012,Butte,Outdoor Temperature,76.3776474516129
2332,7,2012,Calaveras,Outdoor Temperature,74.22177419354838
2333,7,2012,Colusa,Outdoor Temperature,76.24059138709677
2334,7,2012,Del Norte,Outdoor Temperature,59.73790322580645
2335,7,2012,El Dorado,Outdoor Temperature,69.11765553225807
2336,7,2012,Fresno,Outdoor Temperature,80.18197400537635
2337,7,2012,Glenn,Outdoor Temperature,76.09139777419354
2338,7,2012,Humboldt,Outdoor Temperature,66.31451619354839
2339,7,2012,Imperial,Outdoor Temperature,91.92750423225807
2340,7,2012,Inyo,Outdoor Temperature,83.4188600451613
2341,7,2012,Kern,Outdoor Temperature,81.42434358781362
2342,7,2012,Kings,Outdoor Temperature,80.59274191935484
2343,7,2012,Lake,Outdoor Temperature,70.06350807258065
2344,7,2012,Los Angeles,Outdoor Temperature,71.20314556774194
2345,7,2012,Madera,Outdoor Temperature,77.8991935483871
2346,7,2012,Marin,Outdoor Temperature,55.337609935483876
2347,7,2012,Mariposa,Outdoor Temperature,71.89493072258064
2348,7,2012,Merced,Outdoor Temperature,78.39892477419355
2349,7,2012,Mono,Outdoor Temperature,66.9633005483871
2350,7,2012,Monterey,Outdoor Temperature,59.972409849462366
2351,7,2012,Nevada,Outdoor Temperature,75.77016129032258
2352,7,2012,Orange,Outdoor Temperature,68.96442475806451
2353,7,2012,Placer,Outdoor Temperature,80.50961553846153
2354,7,2012,Riverside,Outdoor Temperature,83.19612301075269
2355,7,2012,Sacramento,Outdoor Temperature,74.79923890967741
2356,7,2012,San Benito,Outdoor Temperature,65.81653230645162
2357,7,2012,San Bernardino,Outdoor Temperature,78.20312180733944
2358,7,2012,San Diego,Outdoor Temperature,68.6103925766129
2359,7,2012,San Joaquin,Outdoor Temperature,75.16904316129032
2360,7,2012,San Luis Obispo,Outdoor Temperature,65.46955232258064
2361,7,2012,Santa Barbara,Outdoor Temperature,61.51094727526882
2362,7,2012,Santa Clara,Outdoor Temperature,66.15368564516129
2363,7,2012,Santa Cruz,Outdoor Temperature,59.72849464516129
2364,7,2012,Shasta,Outdoor Temperature,59.870295741935486
2365,7,2012,Stanislaus,Outdoor Temperature,77.25470425806452
2366,7,2012,Sutter,Outdoor Temperature,77.0380506153846
2367,7,2012,Tehama,Outdoor Temperature,78.10483874193548
2368,7,2012,Tulare,Outdoor Temperature,77.35837050967741
2369,7,2012,Tuolumne,Outdoor Temperature,78.00940864516129
2370,7,2012,Ventura,Outdoor Temperature,67.72132617741936
2371,7,2012,Yolo,Outdoor Temperature,72.08064506451612
2703,8,2012,Amador,Outdoor Temperature,75.79704306451612
2704,8,2012,Butte,Outdoor Temperature,78.44802865591397
2705,8,2012,Calaveras,Outdoor Temperature,76.58064512903226
2706,8,2012,Colusa,Outdoor Temperature,76.83227219354839
