,month,year,County Name,Parameter Name,Arithmetic Mean
0,1,2012,Butte,Relative Humidity ,61.667562698924726
1,1,2012,Del Norte,Relative Humidity ,87.98805519354839
2,1,2012,Fresno,Relative Humidity ,73.498972125
3,1,2012,Glenn,Relative Humidity ,64.76075261290323
4,1,2012,Humboldt,Relative Humidity ,81.45602506451614
5,1,2012,Imperial,Relative Humidity ,45.55645164516129
6,1,2012,Inyo,Relative Humidity ,30.973249178041545
7,1,2012,Kern,Relative Humidity ,71.88180801612903
8,1,2012,Lake,Relative Humidity ,70.67741934408602
9,1,2012,Los Angeles,Relative Humidity ,52.93483534897361
10,1,2012,Madera,Relative Humidity ,71.571949
11,1,2012,Marin,Relative Humidity ,65.59953694444444
12,1,2012,Mariposa,Relative Humidity ,43.34005377419355
13,1,2012,Orange,Relative Humidity ,48.89932370967742
14,1,2012,Placer,Relative Humidity ,62.13037635483871
15,1,2012,Riverside,Relative Humidity ,41.910695958139534
16,1,2012,Sacramento,Relative Humidity ,69.7586021483871
17,1,2012,San Benito,Relative Humidity ,60.58198925806452
18,1,2012,San Bernardino,Relative Humidity ,40.63738311486487
19,1,2012,San Diego,Relative Humidity ,51.837813612903226
20,1,2012,San Joaquin,Relative Humidity ,68.89784941935484
21,1,2012,Santa Barbara,Relative Humidity ,64.21908603225806
22,1,2012,Santa Clara,Dew Point,37.87899464516129
23,1,2012,Shasta,Relative Humidity ,59.08064525806452
24,1,2012,Tulare,Relative Humidity ,52.72856997590362
25,1,2012,Ventura,Relative Humidity ,42.60492167204301
307,2,2012,Butte,Relative Humidity ,58.16390936781609
308,2,2012,Del Norte,Relative Humidity ,87.40297621428572
309,2,2012,Fresno,Relative Humidity ,67.28100988505747
310,2,2012,Glenn,Relative Humidity ,59.30603441379311
311,2,2012,Humboldt,Relative Humidity ,79.04717264285715
312,2,2012,Imperial,Relative Humidity ,46.92959775862069
313,2,2012,Inyo,Relative Humidity ,29.600012504702196
314,2,2012,Kern,Relative Humidity ,62.029297896551725
315,2,2012,Lake,Relative Humidity ,70.78256698850575
316,2,2012,Los Angeles,Relative Humidity ,59.544412940438875
317,2,2012,Madera,Relative Humidity ,66.09678693103449
318,2,2012,Marin,Relative Humidity ,76.70187977777778
319,2,2012,Mariposa,Relative Humidity ,60.087643758620686
320,2,2012,Orange,Relative Humidity ,55.47104572413793
321,2,2012,Placer,Relative Humidity ,56.57040234482759
322,2,2012,Riverside,Relative Humidity ,51.134110428571425
323,2,2012,Sacramento,Relative Humidity ,62.700420527559054
324,2,2012,San Benito,Relative Humidity ,64.19827589655173
325,2,2012,San Bernardino,Relative Humidity ,54.6349862137931
326,2,2012,San Diego,Relative Humidity ,62.691074563218386
327,2,2012,San Joaquin,Relative Humidity ,63.45402296551725
328,2,2012,Santa Barbara,Relative Humidity ,61.39798848275861
329,2,2012,Santa Clara,Dew Point,38.77780389285714
330,2,2012,Shasta,Relative Humidity ,65.63697620689655
331,2,2012,Tulare,Relative Humidity ,66.04114004651163
332,2,2012,Ventura,Relative Humidity ,51.47629905747126
614,3,2012,Butte,Relative Humidity ,67.12168731182796
615,3,2012,Del Norte,Relative Humidity ,83.22943487096775
616,3,2012,Fresno,Relative Humidity ,63.918255129032254
617,3,2012,Glenn,Relative Humidity ,66.4704300967742
618,3,2012,Humboldt,Relative Humidity ,80.36693548387096
619,3,2012,Imperial,Relative Humidity ,42.7096774516129
