,month,year,County Name,Parameter Name,Arithmetic Mean
0,1,2012,Amador,Wind Speed - Resultant,99.36559138709677
1,1,2012,Butte,Wind Speed - Resultant,95.608384
2,1,2012,Calaveras,Wind Speed - Resultant,91.22983866129032
3,1,2012,Colusa,Wind Speed - Resultant,114.70265151612904
4,1,2012,El Dorado,Wind Speed - Resultant,84.06379152419355
5,1,2012,Fresno,Wind Speed - Resultant,93.45348102229299
6,1,2012,Glenn,Wind Speed - Resultant,125.14180108064517
7,1,2012,Imperial,Wind Speed - Resultant,104.16009177016129
8,1,2012,Inyo,Wind Speed - Resultant,111.2303019233871
9,1,2012,Kern,Wind Speed - Resultant,85.54128121505376
10,1,2012,Kings,Wind Speed - Resultant,97.79583293548387
11,1,2012,Madera,Wind Speed - Resultant,87.12595612096774
12,1,2012,Marin,Wind Speed - Resultant,87.04976858333333
13,1,2012,Mariposa,Wind Speed - Resultant,61.84859456451613
14,1,2012,Merced,Wind Speed - Resultant,89.75899291935484
15,1,2012,Placer,Wind Speed - Resultant,90.21505369354838
16,1,2012,Sacramento,Wind Speed - Resultant,95.2329919451613
17,1,2012,San Benito,Wind Speed - Resultant,50.302016112903225
18,1,2012,San Bernardino,Wind Speed - Resultant,79.17466982258064
19,1,2012,San Diego,Wind Speed - Resultant,82.4973849016129
20,1,2012,San Joaquin,Wind Speed - Resultant,107.9824597204301
21,1,2012,San Luis Obispo,Wind Speed - Resultant,83.83944963517915
22,1,2012,Santa Barbara,Wind Speed - Resultant,87.30606146875
23,1,2012,Santa Clara,Wind Speed - Resultant,103.87063003225806
24,1,2012,Shasta,Wind Speed - Resultant,80.86559138709677
25,1,2012,Stanislaus,Wind Speed - Resultant,98.28793250806451
26,1,2012,Sutter,Wind Speed - Resultant,129.19013163636362
27,1,2012,Tulare,Wind Speed - Resultant,80.08208573225807
28,1,2012,Tuolumne,Wind Speed - Resultant,95.31518820967742
29,1,2012,Ventura,Wind Speed - Resultant,66.66267938978494
30,1,2012,Yolo,Wind Speed - Resultant,111.57499999999999
357,2,2012,Amador,Wind Speed - Resultant,100.11709774137931
358,2,2012,Butte,Wind Speed - Resultant,102.34698273563218
359,2,2012,Calaveras,Wind Speed - Resultant,94.93692536206896
360,2,2012,Colusa,Wind Speed - Resultant,123.7758620862069
361,2,2012,El Dorado,Wind Speed - Resultant,86.97772989655172
362,2,2012,Fresno,Wind Speed - Resultant,104.27829686206896
363,2,2012,Glenn,Wind Speed - Resultant,121.35772741379311
364,2,2012,Imperial,Wind Speed - Resultant,113.4512392112069
365,2,2012,Inyo,Wind Speed - Resultant,112.41269757327585
366,2,2012,Kern,Wind Speed - Resultant,97.51410508866995
367,2,2012,Kings,Wind Speed - Resultant,108.77304273275863
368,2,2012,Madera,Wind Speed - Resultant,102.23985593103448
369,2,2012,Marin,Wind Speed - Resultant,111.59034796296295
370,2,2012,Mariposa,Wind Speed - Resultant,75.1193246724138
371,2,2012,Merced,Wind Speed - Resultant,100.39135744827585
372,2,2012,Placer,Wind Speed - Resultant,98.72844827586206
373,2,2012,Sacramento,Wind Speed - Resultant,104.30634087857143
374,2,2012,San Benito,Wind Speed - Resultant,69.1137930862069
375,2,2012,San Bernardino,Wind Speed - Resultant,78.09461206896552
376,2,2012,San Diego,Wind Speed - Resultant,91.72542780622838
377,2,2012,San Joaquin,Wind Speed - Resultant,120.71236567816091
378,2,2012,San Luis Obispo,Wind Speed - Resultant,92.28846310517241
379,2,2012,Santa Barbara,Wind Speed - Resultant,97.98326405818965
380,2,2012,Santa Clara,Wind Speed - Resultant,114.96652805357142
381,2,2012,Shasta,Wind Speed - Resultant,79.89087643103448
382,2,2012,Stanislaus,Wind Speed - Resultant,110.9963845862069
383,2,2012,Sutter,Wind Speed - Resultant,109.99137931034483
384,2,2012,Tulare,Wind Speed - Resultant,86.60683480689654
385,2,2012,Tuolumne,Wind Speed - Resultant,98.9260057413793
386,2,2012,Ventura,Wind Speed - Resultant,73.75371524425287
387,2,2012,Yolo,Wind Speed - Resultant,128.56649801724137
715,3,2012,Amador,Wind Speed - Resultant,96.80779572580646
716,3,2012,Butte,Wind Speed - Resultant,89.01828775268817
717,3,2012,Calaveras,Wind Speed - Resultant,97.22110212903226
718,3,2012,Colusa,Wind Speed - Resultant,89.271261
719,3,2012,El Dorado,Wind Speed - Resultant,88.34394410569107
720,3,2012,Fresno,Wind Speed - Resultant,105.18825605376344
721,3,2012,Glenn,Wind Speed - Resultant,103.92741929032259
722,3,2012,Imperial,Wind Speed - Resultant,102.87347108870968
723,3,2012,Inyo,Wind Speed - Resultant,103.29690138306451
724,3,2012,Kern,Wind Speed - Resultant,101.49767620046083
725,3,2012,Kings,Wind Speed - Resultant,111.73791587903226
726,3,2012,Madera,Wind Speed - Resultant,105.8853373951613
727,3,2012,Marin,Wind Speed - Resultant,103.8017473064516
728,3,2012,Mariposa,Wind Speed - Resultant,82.98176133870967
729,3,2012,Merced,Wind Speed - Resultant,101.76471777419356
730,3,2012,Placer,Wind Speed - Resultant,88.71236558064517
731,3,2012,Riverside,Wind Speed - Resultant,81.96944131818181
732,3,2012,Sacramento,Wind Speed - Resultant,95.99703574
733,3,2012,San Benito,Wind Speed - Resultant,66.86088416129033
734,3,2012,San Bernardino,Wind Speed - Resultant,91.50134408064515
735,3,2012,San Diego,Wind Speed - Resultant,101.2338099548387
736,3,2012,San Joaquin,Wind Speed - Resultant,105.41617259139785
737,3,2012,San Luis Obispo,Wind Speed - Resultant,99.69788377258065
738,3,2012,Santa Barbara,Wind Speed - Resultant,98.79431423838385
739,3,2012,Santa Clara,Wind Speed - Resultant,108.98825138709677
740,3,2012,Shasta,Wind Speed - Resultant,98.29899187096774
741,3,2012,Stanislaus,Wind Speed - Resultant,103.17134045967742
742,3,2012,Sutter,Wind Speed - Resultant,89.77431575806452
743,3,2012,Tulare,Wind Speed - Resultant,90.7410982032258
744,3,2012,Tuolumne,Wind Speed - Resultant,94.44825264516129
745,3,2012,Ventura,Wind Speed - Resultant,86.55382655913978
746,3,2012,Yolo,Wind Speed - Resultant,109.14516124193548
1073,4,2012,Amador,Wind Speed - Resultant,103.87777778333333
1074,4,2012,Butte,Wind Speed - Resultant,96.9956018388889
1075,4,2012,Calaveras,Wind Speed - Resultant,110.9861111
1076,4,2012,Colusa,Wind Speed - Resultant,100.63749998333333
1077,4,2012,El Dorado,Wind Speed - Resultant,94.82708334166666
1078,4,2012,Fresno,Wind Speed - Resultant,113.92587523055556
1079,4,2012,Glenn,Wind Speed - Resultant,106.98958336666666
1080,4,2012,Imperial,Wind Speed - Resultant,105.50840277083333
1081,4,2012,Inyo,Wind Speed - Resultant,103.615850675
1082,4,2012,Kern,Wind Speed - Resultant,105.74556916904761
1083,4,2012,Kings,Wind Speed - Resultant,120.54583049166666
1084,4,2012,Madera,Wind Speed - Resultant,118.18376015
1085,4,2012,Marin,Wind Speed - Resultant,128.09513888333333
1086,4,2012,Mariposa,Wind Speed - Resultant,81.11259964999999
1087,4,2012,Merced,Wind Speed - Resultant,117.71262995000001
1088,4,2012,Placer,Wind Speed - Resultant,96.07013888333333
1089,4,2012,Riverside,Wind Speed - Resultant,79.2151389
1090,4,2012,Sacramento,Wind Speed - Resultant,104.01505850375939
1091,4,2012,San Benito,Wind Speed - Resultant,68.2133333
1092,4,2012,San Bernardino,Wind Speed - Resultant,68.97043476086957
1093,4,2012,San Diego,Wind Speed - Resultant,107.6207911722408
1094,4,2012,San Joaquin,Wind Speed - Resultant,125.89435468333335
1095,4,2012,San Luis Obispo,Wind Speed - Resultant,105.29787207666666
1096,4,2012,Santa Barbara,Wind Speed - Resultant,102.56577063219616
1097,4,2012,Santa Clara,Wind Speed - Resultant,122.51723685
1098,4,2012,Shasta,Wind Speed - Resultant,91.49180561666667
1099,4,2012,Stanislaus,Wind Speed - Resultant,121.48106900833334
1100,4,2012,Sutter,Wind Speed - Resultant,93.07222213333333
1101,4,2012,Tulare,Wind Speed - Resultant,97.15877365666667
1102,4,2012,Tuolumne,Wind Speed - Resultant,105.74583333333334
1103,4,2012,Ventura,Wind Speed - Resultant,95.90374367777778
1104,4,2012,Yolo,Wind Speed - Resultant,120.60147948333334
1439,5,2012,Amador,Wind Speed - Resultant,107.05577961290322
1440,5,2012,Butte,Wind Speed - Resultant,105.18214758695653
1441,5,2012,Calaveras,Wind Speed - Resultant,113.0222275
1442,5,2012,Colusa,Wind Speed - Resultant,97.067021
1443,5,2012,El Dorado,Wind Speed - Resultant,88.22166460483871
1444,5,2012,Fresno,Wind Speed - Resultant,138.11868579041916
1445,5,2012,Glenn,Wind Speed - Resultant,107.32056453225808
1446,5,2012,Imperial,Wind Speed - Resultant,107.47952877419355
1447,5,2012,Inyo,Wind Speed - Resultant,106.91648664919356
1448,5,2012,Kern,Wind Speed - Resultant,114.5677867235023
1449,5,2012,Kings,Wind Speed - Resultant,149.23651674193547
